Date,QB,RB1,RB2,WR1,WR2,WR3,TE,UTIL,D,Total
2016-08-20,8.0,3.5,3.0,7.6,4.7,4.0,3.4,5.0,4.0,43.2
2016-08-20,10.9,4.8,4.4,17.2,3.3,6.3,5.4,4.6,4.0,60.9
2016-08-20,11.6,11.4,5.1,10.7,5.4,8.2,3.4,3.3,4.0,63.1
2016-08-20,8.8,4.9,11.4,7.6,9.8,8.1,6.8,8.1,6.0,71.5
2016-08-20,7.1,3.0,2.5,3.3,8.1,6.3,4.5,13.8,7.0,55.6
2016-08-20,18.5,10.8,5.8,3.5,3.3,6.6,3.5,14.6,13.0,79.6
2016-08-20,10.7,4.8,10.8,3.8,10.7,3.6,3.5,2.5,13.0,63.4
2016-08-20,7.4,3.1,3.0,10.0,3.9,4.5,2.3,3.6,11.0,48.8
2016-08-20,5.3,4.6,7.0,6.6,8.6,5.7,3.6,3.9,19.0,64.3
2016-08-20,8.8,16.1,16.5,8.2,3.7,5.0,3.3,3.4,5.0,70.0
2016-08-25,7.1,4.0,4.3,4.0,10.5,9.5,6.6,3.0,4.0,53.0
2016-08-25,6.5,11.9,7.2,5.1,7.2,14.2,3.1,10.4,5.0,70.6
2016-08-25,4.4,7.8,3.9,6.2,9.5,4.6,3.5,2.6,6.0,48.5
2016-08-25,15.9,6.3,3.3,9.8,3.8,4.5,2.4,15.0,4.0,65.0
2016-08-25,9.7,4.9,6.4,5.9,3.8,16.5,3.6,9.5,3.0,63.3
2016-08-25,8.8,6.2,6.0,3.8,19.8,3.1,4.7,4.3,5.0,61.7
2016-08-25,19.3,11.6,3.8,11.8,4.4,8.0,3.6,4.2,4.0,70.7
2016-08-25,9.7,9.9,7.2,4.0,25.5,16.5,3.6,2.6,11.0,90.0
2016-08-25,11.6,3.8,6.2,4.0,3.2,9.5,3.3,7.2,10.0,58.8
2016-08-25,8.8,10.0,11.6,8.0,3.9,14.6,3.6,6.3,10.0,76.8
2016-08-26,8.3,10.5,3.4,9.8,25.5,9.5,4.6,8.4,10.0,90.0
2016-08-26,5.0,5.3,4.6,3.6,5.1,5.4,3.3,6.2,4.0,42.5
2016-08-26,8.8,15.0,4.0,4.5,11.9,12.1,3.4,6.3,4.0,70.0
2016-08-26,7.5,5.1,10.0,16.4,9.4,14.6,3.4,5.8,4.0,76.2
2016-08-26,19.3,16.2,3.3,8.2,4.4,4.0,3.0,9.6,3.0,71.0
2016-08-26,8.1,12.7,4.9,7.2,4.5,3.9,12.1,5.2,6.0,64.6
2016-08-26,8.3,15.0,7.4,9.5,3.1,4.4,6.4,4.5,11.0,69.6
2016-08-26,7.0,3.1,11.6,4.5,14.3,9.2,2.4,7.4,5.0,64.5
2016-08-26,15.9,2.8,3.3,4.5,6.3,12.1,7.9,5.0,4.0,61.8
2016-08-26,13.9,7.5,8.8,7.9,4.4,4.0,6.6,4.2,3.0,60.3
2016-08-27,8.2,3.3,2.8,5.2,8.0,7.5,4.2,5.4,6.0,50.6
2016-08-27,7.0,10.5,5.1,8.8,9.8,5.9,6.2,4.5,10.0,67.8
2016-08-27,9.8,5.0,4.0,9.8,4.0,14.3,6.7,3.1,13.0,69.7
2016-08-27,8.1,9.8,10.3,8.4,5.2,6.3,14.5,11.4,10.0,84.0
2016-08-27,4.7,6.2,4.1,16.4,5.2,3.6,6.7,3.3,10.0,60.2
2016-08-27,8.2,10.3,10.0,16.5,9.5,3.6,3.1,3.9,5.0,70.1
2016-08-27,8.1,3.1,9.8,3.8,6.6,12.1,6.6,12.3,13.0,75.4
2016-08-27,5.6,10.3,9.8,15.0,6.6,6.7,4.2,2.4,7.0,67.6
2016-08-27,7.9,6.3,7.2,10.9,4.4,3.6,3.6,5.2,5.0,54.1
2016-08-27,4.7,8.6,12.3,4.5,16.5,5.2,4.7,6.0,5.0,67.5
2016-08-28,4.2,13.8,2.4,14.0,6.9,7.4,7.1,5.4,6.0,67.2
2016-08-28,7.0,6.1,5.0,6.6,8.5,7.4,4.0,9.6,3.0,57.2
2016-08-28,4.4,9.3,3.2,4.6,12.0,5.7,4.8,3.8,5.0,52.8
2016-08-28,7.5,4.7,13.8,6.8,5.1,4.5,5.9,9.6,6.0,63.9
2016-08-28,8.9,9.3,3.5,10.1,6.7,14.4,3.1,15.7,13.0,84.7
2016-08-28,9.8,4.1,23.1,5.6,5.8,6.1,3.8,10.1,6.0,74.4
2016-08-28,7.5,7.7,14.3,3.4,15.7,13.9,2.3,4.0,5.0,73.8
2016-08-28,7.6,10.3,2.8,10.9,4.1,3.7,3.1,2.3,5.0,49.8
2016-08-28,10.5,2.7,23.1,5.2,4.6,3.5,2.3,3.1,3.0,58.0
2016-08-28,6.1,7.3,3.5,12.4,11.0,4.3,3.8,12.6,6.0,67.0
2016-08-31,5.9,14.3,12.0,7.5,4.1,5.6,3.1,6.0,16.0,74.5
2016-08-31,4.2,3.2,7.7,9.1,8.9,3.9,6.8,14.3,10.0,68.1
2016-08-31,12.1,18.1,3.8,9.6,7.7,4.5,3.8,5.0,4.0,68.6
2016-08-31,5.0,2.4,23.0,6.8,6.6,12.4,3.1,7.5,10.0,76.8
2016-08-31,11.1,4.9,6.2,9.6,10.1,5.0,2.3,18.6,4.0,71.8
2016-08-31,14.2,3.5,3.8,4.3,4.5,18.8,3.8,2.3,10.0,65.2
2016-08-31,9.3,6.4,7.9,4.0,10.1,3.4,6.8,9.8,4.0,61.7
2016-08-31,22.2,3.8,4.1,10.1,5.8,6.8,3.1,6.8,11.0,73.7
2016-08-31,7.9,3.7,13.4,10.9,3.7,3.4,3.0,10.3,4.0,60.3
2016-08-31,4.4,29.9,18.2,6.7,6.1,6.4,4.8,3.8,6.0,86.3
2016-09-01,5.0,2.6,5.3,11.8,8.3,12.0,15.6,14.3,6.0,80.9
2016-09-01,25.4,2.7,5.0,11.7,4.5,11.5,5.0,6.1,16.0,87.9
2016-09-01,4.2,17.0,4.1,3.6,4.3,16.6,9.7,6.9,8.0,74.4
