Date,W1,W2,W3,C1,C2,D1,D2,U,G,Total
2010-10-27,13.5,16.5,3.0,12.0,6.0,6.0,6.0,12.0,11.4,86.4
2010-10-27,3.0,12.0,7.5,3.0,4.5,22.5,9.0,3.0,29.399999999999999,93.9
2010-10-27,12.0,16.5,27.0,7.5,3.0,10.5,22.5,3.0,11.4,113.4
2010-10-27,4.5,3.0,7.5,6.0,13.5,13.5,22.5,6.0,10.799999999999995,87.3
2010-10-27,3.0,37.5,15.0,19.5,16.5,10.5,3.0,7.5,32.399999999999999,144.9
2010-10-27,18.0,18.0,3.0,3.0,6.0,4.5,18.0,3.0,19.199999999999999,92.7
2010-10-27,3.0,16.5,7.5,3.0,13.5,6.0,18.0,3.0,19.199999999999999,89.7
2010-10-28,22.5,12.0,12.0,18.0,16.5,6.0,7.5,9.0,17.399999999999999,120.9
2010-10-28,6.0,7.5,6.0,15.0,10.5,4.5,12.0,9.0,28.800000000000001,99.3
2010-10-28,6.0,3.0,7.5,18.0,13.5,10.5,6.0,19.5,18.600000000000001,102.6
2010-10-28,15.0,6.0,12.0,22.5,3.0,10.5,19.5,9.0,16.800000000000001,114.3
2010-10-28,22.5,3.0,10.5,3.0,7.5,7.5,4.5,10.5,9.5999999999999979,78.6
2010-10-28,4.5,4.5,3.0,13.5,4.5,10.5,6.0,7.5,21.0,75.0
2010-10-28,4.5,13.5,6.0,16.5,4.5,13.5,15.0,9.0,18.0,100.5
2010-10-28,4.5,10.5,7.5,22.5,3.0,4.5,6.0,4.5,29.399999999999999,92.4
2010-10-28,3.0,9.0,4.5,12.0,3.0,12.0,7.5,3.0,12.0,66.0
2010-10-28,22.5,4.5,21.0,10.5,18.0,7.5,4.5,3.0,18.0,109.5
2010-10-29,12.0,25.5,10.5,7.5,7.5,19.5,12.0,3.0,8.3999999999999986,105.9
2010-10-29,3.0,30.0,13.5,12.0,12.0,9.0,4.5,3.0,24.0,111.0
2010-10-29,12.0,12.0,6.0,7.5,7.5,6.0,6.0,12.0,18.600000000000001,87.6
2010-10-29,4.5,3.0,4.5,7.5,7.5,6.0,9.0,9.0,9.0,60.0
2010-10-29,13.5,3.0,7.5,15.0,28.5,24.0,6.0,25.5,24.0,147.0
2010-10-29,4.5,10.5,3.0,28.5,9.0,15.0,4.5,27.0,18.600000000000001,120.6
2010-10-29,18.0,12.0,21.0,12.0,7.5,12.0,6.0,9.0,8.3999999999999986,105.9
2010-10-29,4.5,3.0,10.5,9.0,4.5,12.0,6.0,7.5,24.0,81.0
2010-10-29,12.0,3.0,9.0,21.0,7.5,12.0,4.5,12.0,22.199999999999999,103.2
2010-10-29,3.0,3.0,3.0,7.5,12.0,3.0,6.0,12.0,18.600000000000001,68.1
2010-10-30,6.0,4.5,3.0,9.0,6.0,7.5,4.5,3.0,36.600000000000001,80.1
2010-10-30,6.0,6.0,6.0,18.0,16.5,13.5,7.5,3.0,19.199999999999999,95.7
2010-10-30,6.0,16.5,7.5,4.5,18.0,4.5,4.5,3.0,16.199999999999999,80.7
2010-10-30,9.0,3.0,13.5,7.5,13.5,6.0,25.5,4.5,10.199999999999999,92.7
2010-10-30,4.5,16.5,7.5,3.0,16.5,4.5,19.5,12.0,34.799999999999997,118.8
2010-10-30,3.0,7.5,3.0,4.5,4.5,6.0,4.5,18.0,32.399999999999999,83.4
2010-10-30,4.5,3.0,16.5,3.0,3.0,4.5,7.5,6.0,11.4,59.4
2010-10-30,15.0,7.5,6.0,3.0,3.0,3.0,3.0,12.0,19.199999999999999,71.7
2010-10-30,4.5,7.5,4.5,19.5,4.5,7.5,4.5,4.5,7.8000000000000016,64.8
2010-10-30,6.0,13.5,4.5,6.0,18.0,7.5,9.0,4.5,32.399999999999999,101.4
2010-11-03,4.5,3.0,9.0,7.5,6.0,4.5,10.5,10.5,15.6,71.1
2010-11-03,13.5,3.0,9.0,7.5,7.5,13.5,10.5,12.0,11.4,87.9
2010-11-03,12.0,13.5,18.0,19.5,7.5,10.5,6.0,13.5,11.4,111.9
2010-11-03,6.0,12.0,3.0,13.5,13.5,6.0,3.0,6.0,31.200000000000006,94.2
2010-11-03,18.0,18.0,21.0,13.5,7.5,9.0,6.0,4.5,10.800000000000001,108.3
