Date,QB1,QB2,RB1,RB2,WR1,WR2,WR3,TE,UTIL,Total
2012-11-17,19.2,24.3,7.8,7.6,9.6,4.0,6.1,20.3,29.6,128.5
2012-11-17,24.3,4.1,2.2,4.5,9.3,61.6,29.2,2.1,9.4,146.7
2012-11-17,10.7,5.5,2.9,31.6,4.0,11.3,9.4,9.3,15.9,100.6
2012-11-17,9.4,14.5,10.0,6.8,5.7,9.0,4.0,2.1,6.8,68.3
2012-11-17,5.9,23.4,19.1,8.8,11.1,5.1,9.6,6.8,15.5,105.3
2012-11-17,11.1,20.9,3.6,34.7,13.0,11.1,10.7,19.1,3.6,127.8
2012-11-17,11.1,15.9,15.5,8.3,16.3,14.2,28.4,21.7,4.0,135.4
2012-11-17,23.4,69.3,9.1,9.1,20.2,8.1,51.4,2.6,7.1,200.3
2012-11-23,14.8,21.9,7.6,18.5,3.7,7.1,25.8,5.1,3.3,107.8
2012-11-23,11.8,6.1,2.9,38.2,4.2,12.5,8.2,7.5,4.0,95.4
2012-11-23,51.0,9.1,38.2,29.4,10.7,6.6,5.2,6.4,8.6,165.2
2012-11-23,16.8,21.9,2.2,14.5,7.5,15.5,13.4,11.6,4.3,107.7
2012-11-23,4.6,21.9,50.6,8.4,3.9,5.5,6.8,18.8,2.1,122.6
2012-11-23,7.5,6.1,19.3,16.7,7.5,11.4,10.3,6.9,2.2,87.9
2012-11-23,20.4,18.9,10.8,22.0,11.5,17.7,20.9,7.5,5.5,135.2
2012-11-23,10.7,16.0,5.1,7.8,7.1,15.2,13.0,2.3,11.5,88.7
2012-11-23,24.4,9.1,13.3,4.6,5.7,11.4,17.6,3.9,10.0,100.0
2012-11-23,21.0,11.2,22.0,3.1,29.3,4.6,29.6,7.9,8.1,136.8
2012-11-24,13.1,24.1,4.8,33.9,8.1,11.4,6.5,4.5,29.2,135.6
2012-11-24,7.9,16.1,13.0,14.1,35.6,6.2,6.3,6.6,28.4,134.2
2012-11-24,11.1,10.4,31.4,8.0,8.8,13.1,11.5,14.7,8.4,117.4
2012-11-24,10.6,9.7,7.2,6.7,3.1,9.8,27.2,16.3,4.4,95.0
2012-11-24,13.0,16.1,6.4,6.7,3.3,4.1,12.7,4.0,5.3,71.6
2012-11-24,33.2,15.8,10.9,4.9,6.8,4.9,3.1,6.6,21.0,107.2
2012-11-24,6.2,16.1,23.5,2.4,3.6,21.2,3.9,7.6,7.1,91.6
2012-11-24,17.2,28.7,34.9,20.5,9.0,3.9,26.8,17.4,3.3,161.7
2012-11-24,10.6,41.9,4.6,37.5,15.2,7.1,3.5,3.3,33.3,157.0
2012-11-24,6.4,24.1,17.5,3.6,8.7,6.2,6.1,16.1,2.0,90.7
2012-12-01,17.2,10.0,23.2,13.6,3.4,9.4,3.6,11.7,3.6,95.7
2012-12-01,35.7,19.6,19.9,4.8,15.5,7.2,5.7,7.3,5.1,120.8
2012-12-01,17.2,30.8,14.7,35.8,8.0,3.9,38.2,3.0,2.5,154.1
2012-12-01,19.9,17.5,3.0,30.6,3.1,5.9,6.1,2.5,24.8,113.4
2012-12-01,14.2,19.9,19.5,6.9,3.1,3.2,8.8,3.3,3.5,82.4
2012-12-01,4.3,23.3,8.2,3.9,14.1,9.4,3.2,9.3,8.4,84.1
2012-12-01,32.0,18.3,34.4,21.4,8.8,16.0,5.7,3.0,9.0,148.6
2012-12-01,12.7,8.3,18.0,35.8,3.5,18.5,10.9,6.7,15.8,130.2
2012-12-01,19.9,32.0,4.8,26.3,3.9,3.2,5.3,10.8,31.7,137.9
2012-12-01,19.9,6.7,18.0,3.0,3.6,5.4,5.1,10.8,3.1,75.6
2013-01-01,38.4,11.2,2.5,10.0,7.4,11.8,30.2,4.7,12.9,129.1
2013-01-01,18.8,16.5,7.4,2.1,4.4,13.3,6.3,8.6,36.9,114.3
