Date,P,C,1B,2B,SS,3B,OF1,OF2,OF3,Total
2013-09-04,29.0,6.0,14.5,5.5,6.0,9.0,29.5,5.5,8.5,113.5
2013-09-04,8.5,30.0,11.5,30.0,3.0,8.5,11.5,5.5,15.0,123.5
2013-09-04,28.0,12.0,29.5,11.5,5.5,26.5,5.0,15.5,15.0,148.5
2013-09-04,7.0,6.0,33.0,8.5,9.0,20.0,24.0,15.0,8.5,131.0
2013-09-04,6.0,21.0,8.5,5.0,6.0,9.0,24.0,13.0,5.5,98.0
2013-09-04,26.0,18.0,8.5,6.0,39.0,27.0,6.0,13.5,5.5,149.5
2013-09-05,4.5,3.0,18.5,9.0,4.5,6.0,11.5,20.5,11.0,88.5
2013-09-05,5.5,15.0,5.0,14.5,24.0,20.5,12.0,18.0,26.5,141.0
2013-09-05,4.5,3.0,27.0,14.5,24.0,15.0,18.0,8.5,5.0,119.5
2013-09-05,46.5,15.0,8.0,17.5,5.5,6.0,8.5,12.0,25.0,144.0
2013-09-05,6.0,11.5,27.0,9.0,12.0,9.0,33.0,21.0,15.0,143.5
2013-09-05,35.0,15.0,5.5,5.5,6.0,11.0,5.5,13.5,5.0,102.0
2013-09-05,41.0,3.0,18.5,17.5,4.5,11.0,18.0,26.5,26.5,166.5
2013-09-05,20.0,3.0,5.5,5.5,12.0,44.5,14.5,37.0,22.0,164.0
2013-09-05,5.5,15.0,18.5,17.5,6.0,20.5,24.5,18.0,8.5,134.0
2013-09-05,6.0,9.0,17.5,9.0,12.0,44.5,21.0,11.5,18.0,148.5
2013-09-06,17.0,6.0,5.5,8.5,27.5,19.5,11.5,8.5,19.0,123.0
2013-09-06,6.0,12.0,26.0,21.0,12.0,15.0,13.5,11.5,17.5,134.5
2013-09-06,12.0,12.0,51.0,33.0,9.0,27.0,17.5,5.0,9.0,175.5
2013-09-06,57.5,8.5,15.0,10.5,8.5,27.0,6.0,5.5,18.0,156.5
2013-09-06,49.5,6.0,5.5,42.0,17.5,6.0,20.5,37.5,12.0,196.5
2013-09-06,5.5,8.5,36.0,12.0,9.0,6.0,9.0,14.5,6.0,106.5
2013-09-06,3.5,20.5,14.0,11.5,12.0,46.5,39.0,13.5,9.0,169.5
2013-09-06,3.5,5.5,51.0,11.5,11.5,6.0,29.0,11.0,6.0,135.0
2013-09-06,5.5,3.0,9.0,11.5,17.5,6.0,24.0,19.5,9.0,105.0
2013-09-06,17.0,6.0,34.5,8.0,15.0,5.5,15.0,9.0,8.5,118.5
2013-09-07,5.5,8.5,7.5,8.5,24.0,5.5,9.0,8.5,15.0,92.0
2013-09-07,12.5,6.0,8.5,8.5,5.5,26.5,9.0,21.0,5.5,103.0
2013-09-07,6.5,3.0,18.0,5.5,6.0,14.5,14.5,14.0,11.5,93.5
2013-09-07,17.5,15.0,14.5,12.0,6.0,15.0,13.5,5.0,6.0,104.5
2013-09-07,9.5,5.0,34.0,14.0,5.5,27.0,13.0,11.5,6.0,125.5
2013-09-07,8.5,20.5,12.0,12.0,9.0,15.0,5.5,13.0,31.0,126.5
2013-09-07,6.0,20.5,6.0,17.5,36.0,12.0,6.0,10.5,6.0,120.5
2013-09-07,8.5,5.0,6.0,6.0,9.0,12.0,13.5,27.0,6.0,93.0
2013-09-07,5.5,24.0,34.0,6.0,36.0,12.0,13.5,9.0,11.5,151.5
2013-09-07,5.5,21.0,6.0,14.0,33.0,26.5,8.5,5.5,14.5,134.5
2013-09-08,8.0,5.5,9.0,8.0,29.5,12.0,9.0,27.0,19.5,127.5
2013-09-08,30.0,6.0,6.0,6.0,24.0,15.0,5.5,26.5,20.5,139.5
2013-09-08,12.5,11.0,6.0,18.0,6.0,9.0,19.5,9.0,21.0,112.0
2013-09-08,10.5,8.5,33.0,18.0,16.5,9.0,5.5,9.0,17.0,127.0
2013-09-08,6.0,6.0,6.0,5.5,29.5,15.0,11.5,15.0,7.5,102.0
2013-09-08,4.5,5.5,12.0,12.0,22.5,15.0,11.5,11.5,20.5,115.0
2013-09-08,31.5,6.0,6.0,18.0,8.0,5.5,19.5,15.0,5.5,115.0
2013-09-08,5.0,8.5,18.0,9.0,6.0,5.5,14.5,32.0,15.0,113.5
2013-09-08,5.0,3.0,12.0,17.0,37.5,9.0,19.5,14.5,14.5,132.0
2013-09-08,40.5,11.0,6.0,5.0,6.0,5.5,15.0,9.0,15.0,113.0
2013-09-09,8.0,5.5,8.5,5.5,9.0,9.0,6.0,9.0,24.0,84.5
2013-09-09,5.0,5.5,11.5,22.5,36.0,8.5,5.0,6.0,9.0,109.0
2013-09-09,6.0,5.5,11.5,8.0,21.0,9.0,6.0,29.0,13.5,109.5
2013-09-09,5.5,26.0,11.5,5.5,9.0,17.5,7.5,18.0,13.5,114.0
2013-09-09,43.5,23.5,29.0,12.0,17.5,23.5,5.0,9.0,24.0,187.0
2013-09-09,4.0,3.0,8.5,5.5,9.0,26.0,6.0,8.5,8.0,78.5
2013-09-09,50.0,23.5,29.0,5.5,9.0,9.0,14.5,6.0,5.5,152.0
2013-09-09,4.5,20.0,8.5,8.0,36.0,8.5,5.0,11.0,8.5,110.0
2013-09-09,33.5,5.5,8.5,13.5,4.5,9.0,11.5,30.0,5.5,121.5
