,GameID,Date,Prev_Game_ID,Next_Game_ID,PlayerID,PlayerName,Position,TeamID,TeamName,Fantasy_Points,AvgPoints2Game,AvgPoints4Game,AvgPoints10Game,Projection,Salary
20725,2163865.0,2017-04-02,2163857,2163868,33555.0,Michael Arroyo,F,12916.0,America,11,-0.500000000,8.500000000,4.900000000,4,3100
20726,2163865.0,2017-04-02,2163853,2163871,176343.0,Hugo Gonzalez,F,12948.0,Monterrey,18,23.500000000,20.000000000,,25,9100
20727,2163865.0,2017-04-02,2163853,2163849,87286.0,Ivan Piris,F,12948.0,Monterrey,11,15.000000000,17.500000000,10.800000000,14,6000
20728,2163865.0,2017-04-02,2163853,2163871,411239.0,Cesar Montes,F,12948.0,Monterrey,16,19.000000000,15.000000000,10.700000000,11,5100
20729,2163865.0,2017-04-02,2163823,2163871,17816.0,Nicolas Sanchez,F,12948.0,Monterrey,5,3.500000000,7.250000000,,6,3700
20730,2163865.0,2017-04-02,,,,Luis Fernando Fuentes,F,12948.0,Monterrey,12,,,,0,2000
20731,2163865.0,2017-04-02,2163835,2163871,42045.0,Efrain Juarez,F,12948.0,Monterrey,2,15.500000000,9.500000000,1.400000000,7,4000
20732,2163865.0,2017-04-02,2163853,2163871,154269.0,Yimmi Chara,F,12948.0,Monterrey,8,4.000000000,2.750000000,2.300000000,3,2900
20733,2163865.0,2017-04-02,2163853,2163871,17982.0,Jesus Molina,F,12948.0,Monterrey,10,10.000000000,5.500000000,12.500000000,13,5700
20734,2163865.0,2017-04-02,2163853,2163889,72283.0,Celso Ortiz,F,12948.0,Monterrey,8,4.000000000,5.750000000,5.100000000,4,3100
20735,2163865.0,2017-04-02,2163853,2163871,110288.0,Rogelio Funes Mori,F,12948.0,Monterrey,8,31.500000000,18.500000000,15.400000000,17,6900
20736,2163865.0,2017-04-02,2163853,2163884,66694.0,Dorlan Pabon,F,12948.0,Monterrey,25,17.500000000,15.750000000,26.100000000,21,8000
20737,2163865.0,2017-04-02,2163853,2163871,193402.0,Arturo Gonzalez,F,12948.0,Monterrey,0,1.500000000,1.500000000,-1.500000000,1,2300
20738,2163865.0,2017-04-02,2163853,2163871,57280.0,Carlos Sanchez,F,12948.0,Monterrey,0,8.500000000,7.250000000,8.900000000,9,4600
20739,2163865.0,2017-04-02,2163835,2163895,14317.0,Jonathan Cristaldo,F,12948.0,Monterrey,1,10.500000000,-0.250000000,,5,3400
20740,2163866.0,2017-04-02,2163854,2163875,15128.0,Alfredo Talavera,G,12976.0,Toluca,21,4.500000000,16.750000000,12.700000000,12,5400
20741,2163866.0,2017-04-02,2163854,2163875,55722.0,Rodrigo Salinas,D,12976.0,Toluca,28,24.500000000,14.500000000,12.600000000,9,4600
20742,2163866.0,2017-04-02,2163854,2163875,21727.0,Osvaldo Gonzalez,D,12976.0,Toluca,21,7.000000000,9.500000000,12.500000000,8,4300
20743,2163866.0,2017-04-02,2163854,2163875,393.0,Paulo Da Silva,D,12976.0,Toluca,26,8.000000000,5.250000000,13.000000000,4,3100
20744,2163866.0,2017-04-02,2163854,2163875,15158.0,Efrain Velarde,D,12976.0,Toluca,22,11.000000000,8.250000000,11.100000000,7,4000
20745,2163866.0,2017-04-02,2163854,2163875,14667.0,Carlos Esquivel,M,12976.0,Toluca,6,-4.000000000,-5.000000000,-3.200000000,0,2000
20746,2163866.0,2017-04-02,2163854,2163875,44155.0,Antonio Rios,M,12976.0,Toluca,3,-4.000000000,-5.250000000,1.100000000,-4,2000
20747,2163866.0,2017-04-02,2163854,2163875,11425.0,Jesus Mendez,M,12976.0,Toluca,5,7.000000000,3.000000000,6.000000000,4,3100
20748,2163866.0,2017-04-02,2163854,2163875,5951.0,Pablo Barrientos,M,12976.0,Toluca,10,6.500000000,13.750000000,10.700000000,14,6000
20749,2163866.0,2017-04-02,2163838,2163875,13801.0,Gabriel Hauche,F,12976.0,Toluca,6,6.500000000,-1.500000000,4.100000000,1,2300
20750,2163866.0,2017-04-02,2163854,2163875,77902.0,Fernando Uribe,F,12976.0,Toluca,12,12.500000000,3.750000000,13.900000000,9,4600
20751,2163866.0,2017-04-02,2163811,2163875,85653.0,Erbin Trejo,M,12976.0,Toluca,28,15.000000000,9.250000000,7.100000000,9,4600
20752,2163866.0,2017-04-02,2163854,2163875,427.0,Sinha,M,12976.0,Toluca,9,-0.500000000,-2.750000000,-2.500000000,0,2000
20753,2163866.0,2017-04-02,2163854,2163884,47356.0,Antonio Pedroza,F,12976.0,Toluca,0,-9.000000000,,,0,2000
20754,2163866.0,2017-04-02,2163855,2163873,16985.0,Marcelo Barovero,F,12951.0,Necaxa,12,13.000000000,17.000000000,21.300000000,17,6900
20755,2163866.0,2017-04-02,2163855,2163873,43811.0,Brayan Beckeles,F,12951.0,Necaxa,16,19.000000000,15.750000000,11.900000000,11,5100
20756,2163866.0,2017-04-02,2163855,2163873,41587.0,Mario de Luna,F,12951.0,Necaxa,15,11.000000000,7.750000000,11.900000000,8,4300
20757,2163866.0,2017-04-02,2163831,2163873,7213.0,Marcos Gonzalez,F,12951.0,Necaxa,12,15.000000000,7.250000000,13.700000000,12,5400
20758,2163866.0,2017-04-02,,,477176.0,Diego Hernandez,F,12951.0,Necaxa,6,,,,0,2000
20759,2163866.0,2017-04-02,2163855,2163873,89719.0,Jesus Isijara,F,12951.0,Necaxa,4,-4.000000000,-3.250000000,-1.900000000,0,2000
20760,2163866.0,2017-04-02,2163855,2163873,15138.0,Xavier Ivan Baez,F,12951.0,Necaxa,10,1.500000000,0.250000000,-1.300000000,0,2000
20761,2163866.0,2017-04-02,2163855,2163873,10442.0,Manuel Iturra,F,12951.0,Necaxa,8,6.500000000,2.500000000,5.300000000,2,2600
20762,2163866.0,2017-04-02,2163855,,129282.0,Luis Felipe Gallegos,F,12951.0,Necaxa,9,1.500000000,1.750000000,3.100000000,0,2000
20763,2163866.0,2017-04-02,2163855,2163873,97536.0,Claudio Riano,F,12951.0,Necaxa,2,5.500000000,6.750000000,5.600000000,4,3100
20764,2163866.0,2017-04-02,2163855,2163873,73463.0,Edson Puch,F,12951.0,Necaxa,8,20.000000000,13.500000000,5.800000000,10,4900
20765,2163866.0,2017-04-02,2163855,,14556.0,Jesus Chavez,F,12951.0,Necaxa,0,0,,,2,2600
20766,2163866.0,2017-04-02,2163855,2163873,187224.0,Nicolas Maturana,F,12951.0,Necaxa,2,0,,,0,2000
20767,2163866.0,2017-04-02,2163855,2163873,73466.0,Maximiliano Fabian Barreiro,F,12951.0,Necaxa,6,-3.000000000,-1.000000000,-2.600000000,0,2000
20768,2163866.0,2017-04-02,2163854,2163875,15128.0,Alfredo Talavera,G,12976.0,Toluca,21,4.500000000,16.750000000,12.700000000,12,5400
20769,2163866.0,2017-04-02,2163854,2163875,55722.0,Rodrigo Salinas,D,12976.0,Toluca,28,24.500000000,14.500000000,12.600000000,9,4600
20770,2163866.0,2017-04-02,2163854,2163875,21727.0,Osvaldo Gonzalez,D,12976.0,Toluca,21,7.000000000,9.500000000,12.500000000,8,4300
20771,2163866.0,2017-04-02,2163854,2163875,393.0,Paulo Da Silva,D,12976.0,Toluca,26,8.000000000,5.250000000,13.000000000,4,3100
20772,2163866.0,2017-04-02,2163854,2163875,15158.0,Efrain Velarde,D,12976.0,Toluca,22,11.000000000,8.250000000,11.100000000,7,4000
20773,2163866.0,2017-04-02,2163854,2163875,14667.0,Carlos Esquivel,M,12976.0,Toluca,6,-4.000000000,-5.000000000,-3.200000000,0,2000
20774,2163866.0,2017-04-02,2163854,2163875,44155.0,Antonio Rios,M,12976.0,Toluca,3,-4.000000000,-5.250000000,1.100000000,-4,2000
20775,2163866.0,2017-04-02,2163854,2163875,11425.0,Jesus Mendez,M,12976.0,Toluca,5,7.000000000,3.000000000,6.000000000,4,3100
20776,2163866.0,2017-04-02,2163854,2163875,5951.0,Pablo Barrientos,M,12976.0,Toluca,10,6.500000000,13.750000000,10.700000000,14,6000
20777,2163866.0,2017-04-02,2163838,2163875,13801.0,Gabriel Hauche,F,12976.0,Toluca,6,6.500000000,-1.500000000,4.100000000,1,2300
20778,2163866.0,2017-04-02,2163854,2163875,77902.0,Fernando Uribe,F,12976.0,Toluca,12,12.500000000,3.750000000,13.900000000,9,4600
20779,2163866.0,2017-04-02,2163811,2163875,85653.0,Erbin Trejo,M,12976.0,Toluca,28,15.000000000,9.250000000,7.100000000,9,4600
20780,2163866.0,2017-04-02,2163854,2163875,427.0,Sinha,M,12976.0,Toluca,9,-0.500000000,-2.750000000,-2.500000000,0,2000
20781,2163866.0,2017-04-02,2163854,2163884,47356.0,Antonio Pedroza,F,12976.0,Toluca,0,-9.000000000,,,0,2000
20782,2163866.0,2017-04-02,2163855,2163873,16985.0,Marcelo Barovero,F,12951.0,Necaxa,12,13.000000000,17.000000000,21.300000000,17,6900
20783,2163866.0,2017-04-02,2163855,2163873,43811.0,Brayan Beckeles,F,12951.0,Necaxa,16,19.000000000,15.750000000,11.900000000,11,5100
20784,2163866.0,2017-04-02,2163855,2163873,41587.0,Mario de Luna,F,12951.0,Necaxa,15,11.000000000,7.750000000,11.900000000,8,4300
20785,2163866.0,2017-04-02,2163831,2163873,7213.0,Marcos Gonzalez,F,12951.0,Necaxa,12,15.000000000,7.250000000,13.700000000,12,5400
20786,2163866.0,2017-04-02,,,477176.0,Diego Hernandez,F,12951.0,Necaxa,6,,,,0,2000
20787,2163866.0,2017-04-02,2163855,2163873,89719.0,Jesus Isijara,F,12951.0,Necaxa,4,-4.000000000,-3.250000000,-1.900000000,0,2000
20788,2163866.0,2017-04-02,2163855,2163873,15138.0,Xavier Ivan Baez,F,12951.0,Necaxa,10,1.500000000,0.250000000,-1.300000000,0,2000
20789,2163866.0,2017-04-02,2163855,2163873,10442.0,Manuel Iturra,F,12951.0,Necaxa,8,6.500000000,2.500000000,5.300000000,2,2600
20790,2163866.0,2017-04-02,2163855,,129282.0,Luis Felipe Gallegos,F,12951.0,Necaxa,9,1.500000000,1.750000000,3.100000000,0,2000
20791,2163866.0,2017-04-02,2163855,2163873,97536.0,Claudio Riano,F,12951.0,Necaxa,2,5.500000000,6.750000000,5.600000000,4,3100
20792,2163866.0,2017-04-02,2163855,2163873,73463.0,Edson Puch,F,12951.0,Necaxa,8,20.000000000,13.500000000,5.800000000,10,4900
20793,2163866.0,2017-04-02,2163855,,14556.0,Jesus Chavez,F,12951.0,Necaxa,0,0,,,2,2600
20794,2163866.0,2017-04-02,2163855,2163873,187224.0,Nicolas Maturana,F,12951.0,Necaxa,2,0,,,0,2000
20795,2163866.0,2017-04-02,2163855,2163873,73466.0,Maximiliano Fabian Barreiro,F,12951.0,Necaxa,6,-3.000000000,-1.000000000,-2.600000000,0,2000
20796,2163867.0,2017-04-02,2163850,2163876,15291.0,Jonathan Orozco,G,12964.0,Santos Laguna,5,14.500000000,10.000000000,14.400000000,13,5700
20797,2163867.0,2017-04-02,2163850,2163876,440449.0,Jorge Sanchez,D,12964.0,Santos Laguna,15,6.500000000,6.000000000,8.200000000,5,3400
20798,2163867.0,2017-04-02,2163850,2163876,106689.0,Carlos Izquierdoz,D,12964.0,Santos Laguna,15,13.000000000,12.000000000,23.100000000,17,6900
20799,2163867.0,2017-04-02,2163850,2163876,142139.0,Nestor Araujo,D,12964.0,Santos Laguna,16,17.500000000,13.750000000,20.200000000,16,6600
20800,2163867.0,2017-04-02,2163850,2163876,28048.0,Jorge Villafana,D,12964.0,Santos Laguna,17,7.000000000,1.500000000,4.700000000,2,2600
20801,2163867.0,2017-04-02,2163850,2163876,196313.0,Djaniny,F,12964.0,Santos Laguna,34,19.000000000,21.250000000,11.300000000,11,5100
20802,2163867.0,2017-04-02,2163850,2163876,27960.0,Osvaldo Martinez,M,12964.0,Santos Laguna,32,25.500000000,23.000000000,12.100000000,11,5100
20803,2163867.0,2017-04-02,2163850,2163876,289463.0,Ulises Rivas,M,12964.0,Santos Laguna,8,5.000000000,1.750000000,2.900000000,1,2300
20804,2163867.0,2017-04-02,2163850,2163876,249670.0,Gael Sandoval,M,12964.0,Santos Laguna,15,6.000000000,1.500000000,6.400000000,3,2900
20805,2163867.0,2017-04-02,2163850,2163876,41602.0,Ulises Davila,M,12964.0,Santos Laguna,12,4.500000000,-1.500000000,1.400000000,0,2000
20806,2163867.0,2017-04-02,2163850,2163876,130289.0,Julio Furch,F,12964.0,Santos Laguna,2,-0.500000000,0.250000000,3.000000000,3,2900
20807,2163867.0,2017-04-02,2163850,2163876,118745.0,Jorge Enriquez,M,12964.0,Santos Laguna,0,0,2.500000000,,4,3100
20808,2163867.0,2017-04-02,2163850,2163876,78279.0,Diego Eduardo De Buen Juarez,M,12964.0,Santos Laguna,0,0,-5.750000000,1.600000000,-3,2000
20809,2163867.0,2017-04-02,2061406,2163876,201185.0,David Andrade,M,12964.0,Santos Laguna,4,-8.000000000,,,0,2000
20810,2163867.0,2017-04-02,2163852,2163870,113642.0,Tiago Volpi,M,12962.0,Queretaro,30,24.500000000,28.250000000,24.700000000,22,8300
20811,2163867.0,2017-04-02,2163852,2163870,74114.0,Jaime Gomez Valencia,M,12962.0,Queretaro,14,14.000000000,4.750000000,6.100000000,2,2600
20812,2163867.0,2017-04-02,2163852,2163870,63620.0,Hiram Mier,M,12962.0,Queretaro,10,21.500000000,11.000000000,8.500000000,7,4000
20813,2163867.0,2017-04-02,2163852,2163870,47285.0,Miguel Martinez,M,12962.0,Queretaro,28,18.500000000,14.500000000,12.300000000,7,4000
20814,2163867.0,2017-04-02,2163835,2163870,6906.0,Jonathan Bornstein,M,12962.0,Queretaro,15,6.500000000,0.500000000,10.300000000,6,3700
20815,2163867.0,2017-04-02,2163852,2163870,33456.0,Juan Forlin,M,12962.0,Queretaro,15,18.500000000,7.000000000,12.300000000,9,4600
20816,2163867.0,2017-04-02,2163852,2163870,141065.0,Yerson Candelo,M,12962.0,Queretaro,12,24.000000000,10.000000000,3.400000000,5,3400
20817,2163867.0,2017-04-02,2163852,2163870,15328.0,Luis Miguel Noriega Orozco,M,12962.0,Queretaro,5,5.500000000,2.750000000,0.600000000,4,3100
20818,2163867.0,2017-04-02,2163852,2163870,13877.0,Neri Cardozo,M,12962.0,Queretaro,7,20.500000000,9.500000000,6.200000000,6,3700
20819,2163867.0,2017-04-02,2163852,2163870,23993.0,Edgar Benitez,M,12962.0,Queretaro,10,11.500000000,1.500000000,-0.900000000,2,2600
20820,2163867.0,2017-04-02,2163852,2163870,14339.0,Emanuel Villa,M,12962.0,Queretaro,3,3.500000000,7.500000000,1.800000000,3,2900
20821,2163867.0,2017-04-02,2163852,2163870,252568.0,Kevin Gutierrez,M,12962.0,Queretaro,1,4.000000000,3.500000000,2.100000000,2,2600
20822,2163867.0,2017-04-02,2163824,2163842,15253.0,Edgar Lugo,M,12962.0,Queretaro,0,-8.500000000,-6.500000000,,0,2000
20823,2163867.0,2017-04-02,2163786,2163842,229041.0,Andres Renteria,M,12962.0,Queretaro,3,2.000000000,5.250000000,,2,2600
20824,2163868.0,2017-04-08,,,255520.0,Manuel Lajud,G,12974.0,Tijuana,2,,,,0,2000
20825,2163868.0,2017-04-08,,,48638.0,Michael Orozco,D,12974.0,Tijuana,6,,,,0,2000
20826,2163868.0,2017-04-08,,,14613.0,Juan Carlos Valenzuela,D,12974.0,Tijuana,10,,,,0,2000
20827,2163868.0,2017-04-08,2163861,2163842,472041.0,Carlos Vargas,M,12974.0,Tijuana,9,6.500000000,,,2,2600
20828,2163868.0,2017-04-08,,,55885.0,Damian Perez,D,12974.0,Tijuana,12,,,,0,2000
