GameID,PlayerID,Date,Points,Seconds_Played,ShotsAttempted,ShotsMade,ThreesAttempted,ThreesMade,FreeThrowsAttempted,FreeThrowsMade,Assists,Blocks,Steals,Rebounds,OffensiveRebounds,DefensiveRebounds,Turnovers,Bonus,Plus_Minus,FantasyPoints,DraftkingsPoints
945751,748154,2017-03-22,24,1219,9,8,0,0,9,8,0,1,1,11,4,7,0,2,23,31.0,43.25
945751,761348,2017-03-22,3,1081,5,1,0,0,2,1,2,0,1,6,1,5,2,0,9,10.0,14.5
945751,747425,2017-03-22,9,1410,10,4,2,0,2,1,0,2,1,4,2,2,0,0,9,13.5,20.0
945751,733294,2017-03-22,18,1671,6,6,0,0,6,6,14,2,0,11,0,11,5,3,21,39.5,57.25
945751,733302,2017-03-22,8,804,8,4,0,0,0,0,1,0,0,3,2,1,2,0,8,9.0,12.25
945751,752643,2017-03-22,6,1067,4,3,1,0,0,0,1,0,0,1,0,1,1,0,11,6.0,8.25
945751,752324,2017-03-22,11,979,8,5,0,0,2,1,0,0,0,2,0,2,0,0,-4,10.0,13.5
945751,745358,2017-03-22,12,1500,9,4,3,1,3,3,0,1,0,3,0,3,1,0,-15,12.0,17.75
945751,771367,2017-03-22,3,1729,6,1,3,1,0,0,3,0,1,2,0,2,2,0,-8,7.5,11.5
945751,732703,2017-03-22,4,965,8,2,4,0,0,0,1,0,1,2,1,1,0,0,-17,7.0,10.0
945751,747670,2017-03-22,2,1348,3,1,0,0,0,0,4,0,4,0,0,0,0,0,-17,9.5,16.0
945751,751369,2017-03-22,8,1125,9,3,2,0,2,2,2,0,0,4,2,2,1,0,-7,11.0,15.5
945751,732496,2017-03-22,6,1532,5,3,1,0,0,0,4,0,1,2,0,2,1,0,-8,11.0,16.0
945751,761254,2017-03-22,12,1549,14,4,3,1,3,3,2,3,1,2,1,1,3,0,-23,15.0,24.5
945751,761304,2017-03-22,6,1003,6,3,0,0,0,0,2,0,0,2,0,2,0,0,-16,8.5,11.5
945751,751313,2017-03-22,20,1794,12,7,8,5,1,1,1,0,0,0,0,0,1,0,-5,16.5,23.5
945751,750995,2017-03-22,13,876,7,4,1,0,6,5,0,0,0,6,2,4,0,0,-5,14.5,20.5
945752,747402,2017-03-22,5,826,5,2,3,1,0,0,6,0,0,2,0,2,1,0,9,11.5,16.5
945752,745060,2017-03-22,22,2054,21,6,6,1,12,9,10,2,4,2,0,2,4,2,-5,32.5,51.5
945752,749275,2017-03-22,5,894,6,2,4,1,0,0,0,0,0,2,0,2,2,0,13,5.0,7.0
945752,750970,2017-03-22,28,2115,21,10,9,4,7,4,2,1,4,9,3,6,3,0,5,35.5,52.75
945752,725675,2017-03-22,4,1211,2,1,0,0,2,2,0,0,0,10,5,5,3,0,22,11.0,15.0
945752,649160,2017-03-22,8,924,7,3,3,1,1,1,1,2,0,4,1,3,1,0,12,12.5,18.5
945752,725663,2017-03-22,4,1659,4,2,0,0,0,0,1,0,0,6,1,5,2,0,-19,9.0,12.0
945752,761313,2017-03-22,5,1123,7,2,2,1,0,0,1,0,0,5,1,4,1,0,5,9.5,12.75
945752,750183,2017-03-22,10,1638,10,4,5,2,0,0,0,0,0,8,6,2,1,0,-14,15.5,20.5
945752,740361,2017-03-22,13,1956,12,6,2,0,1,1,2,1,1,7,1,6,1,0,-8,20.0,28.25
945752,725659,2017-03-22,5,1576,8,2,3,0,1,1,2,1,1,8,1,7,1,0,10,15.0,21.5
945752,751518,2017-03-22,7,1677,8,3,4,1,0,0,1,1,2,4,1,3,1,0,-15,13.0,19.5
945752,755622,2017-03-22,18,2062,16,5,3,0,8,8,6,0,0,2,0,2,10,0,7,14.5,24.5
945752,732482,2017-03-22,10,1848,7,4,2,2,0,0,2,0,3,4,1,3,1,0,3,16.5,24.5
945752,744973,2017-03-22,0,464,3,0,2,0,0,0,1,0,0,1,1,0,1,0,-4,1.5,2.25
945752,671764,2017-03-22,14,2161,12,5,0,0,6,4,2,1,2,16,4,12,2,2,5,31.5,43.5
945752,543548,2017-03-22,9,890,7,3,3,2,1,1,1,0,1,1,0,1,0,0,-11,10.0,14.75
945752,737154,2017-03-22,2,821,5,1,0,0,2,0,2,0,1,3,0,3,0,0,-11,7.5,10.75
945752,747458,2017-03-22,29,2186,16,9,8,3,9,8,3,2,1,2,2,0,0,0,5,28.5,43.5
945752,672049,2017-03-22,6,716,4,2,0,0,2,2,0,0,0,3,1,2,0,0,-9,7.0,9.75
945753,751326,2017-03-22,21,1908,14,8,6,3,2,2,4,0,0,3,0,3,0,0,-4,23.0,32.25
945753,671769,2017-03-22,3,1689,6,1,3,1,0,0,9,0,1,1,0,1,0,0,0,13.5,20.25
945753,747946,2017-03-22,20,1963,14,8,6,3,1,1,2,0,2,4,0,4,0,0,11,23.5,33.5
945753,725938,2017-03-22,18,2435,14,8,4,1,1,1,3,0,1,5,0,5,2,0,21,21.5,30.25
945753,743719,2017-03-22,12,1588,10,4,0,0,4,4,4,0,1,7,3,4,1,0,1,19.5,28.25
945753,771364,2017-03-22,4,705,2,1,0,0,2,2,1,1,0,4,1,3,0,0,6,8.5,12.5
945753,761261,2017-03-22,16,1719,10,8,0,0,0,0,7,0,0,10,2,8,3,2,5,29.5,39.0
945753,766810,2017-03-22,15,1191,11,5,7,3,2,2,3,0,0,0,0,0,0,0,13,14.5,21.0
945753,737530,2017-03-22,17,1131,15,8,0,0,1,1,1,0,2,9,4,5,0,0,15,24.5,33.75
945753,732657,2017-03-22,0,71,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-3,2.0,2.75
945753,538179,2017-03-22,9,1166,9,3,8,3,0,0,1,0,0,1,0,1,1,0,-16,9.0,12.75
945753,671733,2017-03-22,3,1273,7,1,6,1,0,0,3,0,2,2,0,2,0,0,-9,9.5,14.5
945753,648422,2017-03-22,19,1200,10,8,4,2,1,1,2,1,0,4,1,3,0,0,-5,21.5,30.0
945753,560496,2017-03-22,5,158,2,2,1,1,0,0,0,0,0,1,0,1,0,0,5,5.0,6.75
